Age,ArenaSize,Paternity,Treatment,TotDist,MeanVel,LatencyZ2360,CumDur%Z2,MeanMeander,FreqZAlter,FreqTransZ1>Z2,MeanTurnAngle,MeanAngVel,Mean%Activ,Mean%Mobility
49,58,316,0,88.9271,0.267292,360,0,8.0612,0,0,-1.53834,-46.1506,0.0491708,1.4062
49,58,316,0,5237.81,15.0629,4.56662,2.71864,-26.1548,14,7,-0.7007,-21.0212,0.433555,21.6259
49,58,314,0,2640.07,8.52103,12.3332,6.02564,5.67041,4,2,0.628483,18.8547,0.276045,13.4382
49,58,314,0,4004.28,11.1624,203.731,3.62862,-38.149,1,1,-0.270695,-8.12092,0.312461,15.2082
49,58,318,0,5524.86,15.3954,130.499,0.7858,35.2981,3,2,0.159409,4.78231,0.378242,20.3079
49,58,318,0,2297.11,6.38624,8.49991,13.736,4.16395,1,1,-0.0908943,-2.72686,0.291832,14.8551
49,58,318,0,8043.36,22.4155,0,13.3993,-2.85292,4,2,0.271814,8.15449,0.453203,28.8013
49,58,32,0,5174.64,14.4316,41.7996,2.13632,24.1494,4,2,0.800186,24.0058,0.366127,18.6663
49,58,32,0,4670.35,13.0058,17.7998,5.39565,2.73398,3,2,0.386689,11.6008,0.348261,17.348
49,58,32,0,4332.81,12.0748,31.7997,2.08102,3.11111,2,1,-0.0553587,-1.66078,0.334387,16.8928
21,58,39,5,1296.59,3.62653,43.2329,34.7275,-30.8298,3,2,-0.089873,-2.69622,0.07356,9.95924
21,58,39,5,744.412,2.07455,72.7326,8.26699,-13.6575,3,2,0.0551044,1.65315,0.034698,4.6946
21,58,39,5,1315.32,3.65845,106.066,17.7375,-291.971,1,1,-0.0120661,-0.361986,0.0782495,9.1645
21,58,39,5,1259.65,3.52352,153.532,3.06396,-67.8569,3,2,-0.434945,-13.0485,0.0687453,9.74999
21,58,39,5,1363.82,3.82885,282.931,3.96781,109.562,2,1,-0.666784,-20.0037,0.094306,12.4705
21,58,39,5,2172.64,6.05535,15.0665,18.6124,-75.0017,5,3,0.206706,6.20125,0.0927812,11.343
21,58,39,5,1469.55,4.08326,25.6664,19.0397,-175.134,1,1,-0.224039,-6.72123,0.058794,9.32121
49,58,31,5,2411.29,6.70429,6.69993,20.6351,-8.76718,1,1,-0.152197,-4.56594,0.233524,13.1193
49,58,31,5,3453.38,9.59636,6.03327,6.84678,-28.6826,1,1,0.0397874,1.19363,0.28994,16.0323
49,58,31,5,2336.43,6.49618,44.7662,7.98,-23.3364,1,1,-0.373946,-11.2185,0.236839,11.9413
49,58,31,5,590.491,1.64103,33.8663,8.3449,237.565,1,1,1.00442,30.133,0.068856,4.49278
49,58,33,5,2323.28,6.45841,43.8996,13.4055,44.6356,1,1,0.616566,18.4972,0.155242,11.5287
49,58,33,5,414.466,1.1528,79.1659,39.9482,236.632,2,1,0.582239,17.4674,0.0507074,3.91442
49,58,33,5,911.797,2.53444,59.7994,33.3025,474.294,1,1,1.7434,52.3024,0.0738524,6.33316
49,58,33,5,590.114,1.64059,78.9992,4.30436,106.167,1,1,0.114365,3.43099,0.069096,4.41321
49,58,313,5,180.665,0.50241,360,0,238.755,0,0,3.31888,99.5674,0.0164229,1.97265
49,58,313,5,1176.7,3.2626,273.764,2.04854,214.972,1,1,-0.441096,-13.233,0.0979836,5.81502
49,58,37,25,5743.85,15.9997,46.1329,2.67543,-89.6672,1,1,-0.315529,-9.46596,0.345896,23.3371
49,58,37,25,2075.74,5.77135,65.6327,17.5523,-71.8399,1,1,0.0909895,2.72971,0.20923,10.7181
49,58,37,25,3869.21,10.7579,26.7997,7.00796,82.5269,1,1,0.268736,8.06216,0.293524,19.4523
49,58,313,25,2799.74,7.78074,16.5665,17.5192,-10.6281,3,2,0.210805,6.3242,0.208031,12.3738
49,58,313,25,1405.25,3.91219,33.633,49.5186,-184.631,3,2,-0.3122,-9.36608,0.130306,10.4702
49,58,313,25,2390.51,6.641,222.331,1.96985,605.327,1,1,3.71852,111.557,0.124407,10.3393
49,58,313,25,7738.49,21.5179,10.9999,1.4254,-0.166685,1,1,-0.81917,-24.5753,0.329441,28.1976
49,58,318,5,976.781,2.71935,12.3665,38.1226,-49.3832,1,1,-0.1845,-5.53507,0.116118,7.11879
49,58,318,5,3919.04,11.1401,0.533328,1.09992,-21.4137,2,1,-0.00681439,-0.204434,0.311115,18.7574
49,58,318,5,6599.85,18.3927,5.06662,9.04295,1.84843,3,2,-0.0263603,-0.790818,0.344642,24.9106
49,58,318,5,1067.7,2.96917,78.5992,7.57127,-136.707,1,1,-0.764371,-22.9314,0.106779,7.78607
49,58,318,5,6739.25,18.7342,3.89996,7.11773,3.44657,1,1,-1.06355,-31.9068,0.363883,25.9204
49,58,39,5,398.28,1.11512,221.264,4.14661,-254.835,2,1,-0.409036,-12.2712,0.0509086,3.63781
49,58,39,5,1169.12,3.2386,5.33328,75.3828,-4.97049,1,1,0.850117,25.5038,0.157736,9.38489
49,58,39,5,1017.95,2.82217,13.4332,35.3457,-5.59802,1,1,-0.379766,-11.3931,0.0533594,6.13739
49,58,39,5,170.457,0.473013,360,0,530.679,0,0,0.837814,25.1347,0.0102993,1.72065
49,58,39,5,1126.95,3.13278,103.832,14.7168,-183.6,1,1,-0.504256,-15.1278,0.107182,7.58944
49,58,39,5,1415.63,3.93598,143.399,6.15513,271.232,1,1,2.59978,77.9942,0.12152,10.0086
49,58,39,5,101.134,0.291231,360,0,1845.62,0,0,0.530292,15.9089,0.00359763,1.44623
49,58,39,5,3651.62,10.5427,9.39991,15.9789,-26.093,8,4,-0.0878003,-2.63404,0.279611,17.5065
49,58,39,5,2565.22,7.13427,35.333,5.23003,-143.169,1,1,-0.0639846,-1.91956,0.191648,12.823
49,58,33,0,7385.4,20.6125,52.0328,0.212845,8.32427,2,1,-0.25592,-7.67768,0.283274,28.1176
