Age,ArenaSize,Paternity,Treatment,TotDist,MeanVel,MeanTimeZ1,FreqZ1,CumDurZ1,LatencyZ1,CumDur%Z1,MeanTimeZ2,MeanTimeZ2Zero,FreqZ2,CumDurZ2,LatencyZ2,LatencyZ2360,CumDur%Z2,MeanMeander,TotMeander,FreqZAlter,FreqTransZ1>Z2,FreqTransZ2>Z1,MeanTurnAngle,VarTurnAngle,MeanAngVel,Mean%Activ,Tot%Act,Mean%Mobility
14,58,37,25,2720.5,7.5816,7.75371,44,341.163,0,94.6896,1.99998,1.99998,4,7.99992,51.9661,51.9661,2.22037,195.96,2102450,1,1,0,0.708089,3640.36,21.2429,0.0468467,504.679,21.1762
14,58,318,25,689.027,1.92306,16.8472,19,320.097,0,88.8344,5.46661,5.46661,6,32.7997,121.599,121.599,9.10268,33.1235,355283,1,1,0,0.420087,5123.34,12.6027,0.0195396,210.129,8.8674
14,58,318,25,1699.37,4.75886,16.6046,21,348.697,0,96.8342,1.16249,1.16249,8,9.29991,58.4661,58.4661,2.58262,71.8292,768141,7,4,3,0.493953,5458.76,14.8187,0.0263854,283.828,16.0686
14,58,318,25,1286.71,3.61982,19.2554,18,346.597,0,96.2065,4.48329,4.48329,2,8.96658,176.465,176.465,2.4889,386.891,4086340,3,2,1,-0.161977,5162.21,-4.85935,0.0183009,195.16,14.363
14,58,318,25,1391.1,4.02211,8.90868,38,338.53,0,93.9935,0.866658,0.866658,15,12.9999,109.866,109.866,3.60944,-57.5523,-592616,12,6,6,-0.715402,10026.1,-21.4623,0.0170391,178.314,18.2258
14,58,318,25,933.106,2.59439,50.2662,7,351.863,0,97.7136,2.49997,2.49997,3,7.49992,101.499,101.499,2.08275,-23.1595,-249752,1,1,0,0.622437,8149.57,18.6733,0.020789,224.313,10.1733
14,58,318,25,3202.51,8.90007,26.8869,13,349.53,0,97.0117,1.89331,1.89331,5,9.46657,59.3327,59.3327,2.62744,145.99,1574800,1,1,0,0.583734,1746.83,17.5122,0.0459738,496.287,24.3465
14,58,318,25,677.391,1.88201,35.8182,9,322.363,0,89.4635,4.74162,4.74162,8,37.933,81.6325,81.6325,10.5273,-111.641,-1204940,1,1,0,-0.255026,7784.9,-7.65085,0.0128518,138.773,7.13107
14,58,318,25,638.652,1.78396,44.7621,8,358.096,0,99.4354,0.699993,0.699993,1,0.699993,278.264,278.264,0.194372,64.3462,689277,2,1,1,-0.713189,5279.86,-21.3959,0.0136659,146.771,7.48166
14,58,318,25,424.091,1.17815,89.8824,4,359.53,0,99.7688,0.28333,0.28333,2,0.566661,41.1663,41.1663,0.157247,31.1689,336438,1,1,0,-0.658138,7442.98,-19.7444,0.00494998,53.4549,4.98528
14,58,318,25,239.505,0.673153,360.296,1,360.296,0,100,0,0,0,0,0,360,0,-493.927,-5246980,0,0,0,-0.207823,12898.1,-6.23476,0.00585572,63.2242,4.54609
14,58,36,25,1293.88,3.5958,21.3355,14,298.697,0,82.9185,4.73329,4.73329,13,61.5327,6.63327,6.63327,17.0815,-142.727,-1540020,1,1,0,-0.12789,6389.92,-3.83673,0.0168524,181.922,19.0124
14,58,36,25,1837.34,5.10804,89.1741,4,356.696,0,99.0558,1.89998,1.89998,1,1.89998,187.465,187.465,0.527631,-61.5841,-664246,1,1,0,-1.94172,6938.23,-58.2523,0.0240927,259.985,16.9987
14,58,36,25,1158.92,3.24176,44.0287,8,352.23,0,97.8064,1.88331,1.88331,4,7.53326,146.732,146.732,2.09182,600.398,6395440,3,2,1,1.43968,5686.4,43.1909,0.0176508,189.305,13.8683
14,58,36,25,1263.61,3.51072,89.8158,4,359.263,0,99.6948,0.566661,0.566661,1,0.566661,252.964,252.964,0.157247,-288.499,-3112610,1,1,0,-1.16798,3288.66,-35.0399,0.016265,175.63,15.3826
