Video File,Subject,TreatmentFactor,Mean_Burst_Activity_(%),Mean_Burst_Count,Mean_Burst_Count/Minute,Mean_Burst_Duration_(s),Mean_Inactivity_(%),Mean_Inactivity_Duration_(s),Mean_Total_Burst_Duration_(s),Clutch,Parentage,indv,ID
Bmaa_5_3-9B.avi,S01,5,8.163265306,3,2.972406506,1.647809333,91.83673469,55.613565,4.943428,3-9B,39,n,50
Bmaa_5_3-9B.avi,S02,5,3.790087464,2,1.981604338,1.1475815,96.20991254,58.26183,2.295163,3-9B,39,n,51
Bmaa_5_3-9B.avi,S03,5,3.790087464,2,1.981604338,1.1475815,96.20991254,58.26183,2.295163,3-9B,39,n,52
Bmaa_5_3-9B.avi,S04,5,4.956268222,2,1.981604338,1.5006835,95.04373178,57.555626,3.001367,3-9B,39,n,53
Bmaa_5_3-9B.avi,S05,5,34.98542274,1,0.990802169,21.18612,65.01457726,39.370873,21.18612,3-9B,39,n,54
Bmaa_5_3-9B.avi,S06,5,3.498542274,2,1.981604338,1.059306,96.50145773,58.438381,2.118612,3-9B,39,n,55
Bmaa_5_3-9B.avi,S07,5,4.373177843,2,1.981604338,1.3241325,95.62682216,57.908728,2.648265,3-9B,39,n,56
Bmaa_5_3-9B.avi,S08,5,13.9941691,3,2.972406506,2.824816,86.0058309,52.082545,8.474448,3-9B,39,n,57
Bmaa_5_3-9B.avi,S09,5,96.20991254,2,1.981604338,29.130915,3.790087464,2.295163,58.26183,3-9B,39,n,58
Bmaa_5_3-9B.avi,S10,5,5.83090379,2,1.981604338,1.76551,94.16909621,57.025973,3.53102,3-9B,39,n,59
BMAA_5_3-9B_Lift.avi,S01,5,0,0,0,0,100,60.746182,0,3-9B,39,y,Lift
BMAA_5_3-9B_Jolly.avi,S01,5,0,0,0,0,100,60.56889,0,3-9B,39,y,Jolly
BMAA_5_3-9B_Itchy.avi,S01,5,1.166180758,1,0.990903195,0.706132,98.83381924,59.844687,0.706132,3-9B,39,y,Itchy
BMAA_5_3-9B_Hummus.avi,S01,5,1.453488372,2,1.979375436,0.44059,98.54651163,59.744004,0.88118,3-9B,39,y,Hummus
BMAA_5_3-9B_Gavin.avi,S01,5,2.623906706,1,0.993035149,1.585386,97.37609329,58.835436,1.585386,3-9B,39,y,Gavin
BMAA_5_3-9B_Rachel.avi,S01,5,0.874635569,1,0.991228864,0.529425,99.12536443,60.0015,0.529425,3-9B,39,y,Rachel
BMAA_5_3-9B_Quack.avi,S01,5,0,0,0,0,100,60.557505,0,3-9B,39,y,Quack
BMAA_5_3-9B_Powell.avi,S01,5,0,0,0,0,100,60.891075,0,3-9B,39,y,Powell
BMAA_5_3-9B_Owsome.avi,S01,5,0,0,0,0,100,60.89181,0,3-9B,39,y,Owsome
BMAA_5_3-9B_Nikki.avi,S01,5,1.156069364,1,0.984805178,0.704344,98.84393064,60.221412,0.704344,3-9B,39,y,Nikki
BMAA_5_3-9B_Mom.avi,S01,5,0,0,0,0,100,60.661951,0,3-9B,39,y,Mom
BMAA_25_18F_1.avi,S01,25,9.037900875,1,0.98738507,5.492022,90.96209913,55.274544,5.492022,3-18F,318,n,60
